DRG Definition,Provider ID,Provider Name,Provider City,Provider State,Provider Zip Code,Hospital Ownership,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,region cat,region cat num,income cat,income cat num,Median Home Value,median Household Income,Population,Population Density,Major City,State_y,Mortality national comparison_y,Safety of care national comparison_y,Readmission national comparison_y,Patient experience national comparison_y,Effectiveness of care national comparison_y,Timeliness of care national comparison_y,Efficient use of medical imaging national comparison_y,Hospital overall rating,Mortality national comparison_x,Safety of care national comparison_x,Readmission national comparison_x,Patient experience national comparison_x,Effectiveness of care national comparison_x,Timeliness of care national comparison_x,Efficient use of medical imaging national comparison_x,Hospital Type,Hospital Referral Region (HRR) Description,Hospital Name
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330160,STATEN ISLAND UNIVERSITY HOSPITAL,STATEN ISLAND,NY,10305,Voluntary non-profit - Private,122,63301.2,20369.66,17485.26,suburban,2,middle income,2,415300,70758,41749,9819,Staten Island,NY,2,1,1,1,2,1,2,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Manhattan,STATEN ISLAND UNIVERSITY HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330162,NORTHERN WESTCHESTER HOSPITAL,MOUNT KISCO,NY,10549,Voluntary non-profit - Private,250,52232.56,17853.76,11901.29,rural,1,middle income,2,560500,81839,16638,867,Mount Kisco,NY,2,1,1,3,2,2,2,3,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,NY - White Plains,NORTHERN WESTCHESTER HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330163,EASTERN NIAGARA HOSPITAL,LOCKPORT,NY,14094,Voluntary non-profit - Private,12,31713.42,14492.17,13216.17,rural,1,middle income,2,106500,49849,50666,416,Lockport,NY,2,3,1,1,1,2,2,2,Same as the national average,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Acute Care Hospitals,NY - Buffalo,EASTERN NIAGARA HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330164,HIGHLAND HOSPITAL,ROCHESTER,NY,14620,Voluntary non-profit - Private,297,25268.49,14097.93,10144.38,suburban,2,low income,1,131400,38554,25141,5607,Rochester,NY,2,1,3,2,2,1,2,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Rochester,HIGHLAND HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330167,NYU WINTHROP HOSPITAL,MINEOLA,NY,11501,Voluntary non-profit - Private,340,125620.76,20786.33,16996.66,suburban,2,middle income,2,440000,79013,19148,9344,Mineola,NY,3,1,1,1,2,1,3,2,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,NY - East Long Island,NYU WINTHROP HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330169,MOUNT SINAI BETH ISRAEL,NEW YORK,NY,10003,Voluntary non-profit - Private,187,73050.51,23438.91,18568.39,urban,3,middle income,2,817700,92540,56024,97188,New York,NY,3,1,1,1,2,1,2,2,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Manhattan,MOUNT SINAI BETH ISRAEL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330175,"CORTLAND REGIONAL MEDICAL CENTER, INC",CORTLAND,NY,13045,Voluntary non-profit - Private,21,31936.67,13756.05,11849.52,rural,1,low income,1,108400,43985,30112,283,Cortland,NY,3,3,1,1,2,1,2,3,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Syracuse,"CORTLAND REGIONAL MEDICAL CENTER, INC"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330180,SAMARITAN HOSPITAL,TROY,NY,12180,Voluntary non-profit - Private,60,29784.87,12766.77,9615.88,rural,1,middle income,2,171900,47640,53606,977,Troy,NY,2,1,3,1,2,1,2,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Albany,SAMARITAN HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330182,"ST FRANCIS HOSPITAL, ROSLYN",ROSLYN,NY,11576,Voluntary non-profit - Church,527,110825.55,16076.86,13242.4,suburban,2,high income,3,893700,150161,12366,2718,Roslyn,NY,3,3,3,3,2,1,3,4,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,NY - East Long Island,"ST FRANCIS HOSPITAL, ROSLYN"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330184,MONTEFIORE NEW ROCHELLE HOSPITAL,NEW ROCHELLE,NY,10802,Voluntary non-profit - Private,164,49773.61,19497.5,16952.9,,,,,,,,,,,2,2,2,1,2,1,,2,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Not Available,Acute Care Hospitals,NY - Bronx,MONTEFIORE NEW ROCHELLE HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,PORT JEFFERSON,NY,11777,Voluntary non-profit - Private,168,60610.77,16914.76,14485.58,suburban,2,middle income,2,517800,109696,8968,2056,Port Jefferson,NY,3,1,1,3,2,1,3,3,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,NY - East Long Island,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330188,MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER,LEWISTON,NY,14092,Voluntary non-profit - Church,63,24167.02,15499.71,11216.79,rural,1,middle income,2,160200,60689,11086,562,Lewiston,NY,2,1,3,2,2,2,2,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,NY - Buffalo,MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330191,GLENS FALLS HOSPITAL,GLENS FALLS,NY,12801,Voluntary non-profit - Private,132,41842.03,12737.49,9964.17,suburban,2,middle income,2,151400,45538,14707,3725,Glens Falls,NY,1,2,1,2,2,2,3,3,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Acute Care Hospitals,NY - Albany,GLENS FALLS HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330193,FLUSHING HOSPITAL MEDICAL CENTER,FLUSHING,NY,11355,Voluntary non-profit - Private,30,50337.73,22853.73,20541.23,urban,3,low income,1,507500,41884,85871,49492,Flushing,NY,1,1,1,1,2,1,,1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Not Available,Acute Care Hospitals,NY - East Long Island,FLUSHING HOSPITAL MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330194,MAIMONIDES MEDICAL CENTER,BROOKLYN,NY,11219,Voluntary non-profit - Private,128,59512.51,24561.6,21271.88,urban,3,low income,1,726700,34316,92221,62225,Brooklyn,NY,3,1,1,1,2,1,3,2,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,NY - Manhattan,MAIMONIDES MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330195,LONG ISLAND JEWISH MEDICAL CENTER,NEW HYDE PARK,NY,11040,Voluntary non-profit - Private,323,78737.84,22632.33,19292.38,suburban,2,middle income,2,536900,101434,40782,8526,New Hyde Park,NY,3,1,1,1,1,1,3,1,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Above the national average,Acute Care Hospitals,NY - East Long Island,LONG ISLAND JEWISH MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330196,CONEY ISLAND HOSPITAL,BROOKLYN,NY,11235,Government - Local,28,56828.75,22104.11,20145.11,urban,3,low income,1,531000,41639,79132,35237,Brooklyn,NY,2,1,1,1,1,1,,1,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Not Available,Acute Care Hospitals,NY - Manhattan,CONEY ISLAND HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330197,CANTON-POTSDAM HOSPITAL,POTSDAM,NY,13676,Voluntary non-profit - Private,79,34671.9,14707.37,13247.63,rural,1,low income,1,107500,43415,16646,104,Potsdam,NY,2,2,1,2,2,2,2,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,VT - Burlington,CANTON-POTSDAM HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330198,SOUTH NASSAU COMMUNITIES HOSPITAL,OCEANSIDE,NY,11572,Voluntary non-profit - Private,311,59650.27,16628.19,14309.87,suburban,2,middle income,2,440100,96563,30574,6402,Oceanside,NY,2,1,1,1,2,1,3,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,NY - East Long Island,SOUTH NASSAU COMMUNITIES HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330201,KINGSBROOK JEWISH MEDICAL CENTER,BROOKLYN,NY,11203,Voluntary non-profit - Private,11,101081.55,20634.73,18422.55,urban,3,middle income,2,426100,48400,76174,35502,Brooklyn,NY,3,1,1,1,2,1,,1,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Not Available,Acute Care Hospitals,NY - Manhattan,KINGSBROOK JEWISH MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330202,KINGS COUNTY HOSPITAL CENTER,BROOKLYN,NY,11203,Government - Local,12,43976.67,30182.75,27425.5,urban,3,middle income,2,426100,48400,76174,35502,Brooklyn,NY,2,1,1,1,1,1,,1,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Not Available,Acute Care Hospitals,NY - Manhattan,KINGS COUNTY HOSPITAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330203,CROUSE HOSPITAL,SYRACUSE,NY,13210,Voluntary non-profit - Private,326,27968.58,15169.56,11428.4,suburban,2,low income,1,119000,24591,27606,6046,Syracuse,NY,2,1,1,1,2,1,2,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Syracuse,CROUSE HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330204,BELLEVUE HOSPITAL CENTER,NEW YORK,NY,10016,Government - Local,22,24378.32,28128.45,26037.23,urban,3,middle income,2,759600,105324,54183,101814,New York,NY,2,1,1,1,2,1,2,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Manhattan,BELLEVUE HOSPITAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330205,ST ANTHONY COMMUNITY HOSPITAL,WARWICK,NY,10990,Voluntary non-profit - Church,111,103895.62,15461.01,12641.82,rural,1,middle income,2,340900,84110,20631,339,Warwick,NY,2,1,1,3,2,3,2,2,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Acute Care Hospitals,NJ - Ridgewood,ST ANTHONY COMMUNITY HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330208,ST JOHN'S RIVERSIDE HOSPITAL,YONKERS,NY,10701,Voluntary non-profit - Private,96,36334.14,18362.26,16271.52,urban,3,low income,1,370900,43767,63393,15007,Yonkers,NY,3,3,1,2,2,1,2,3,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - White Plains,ST JOHN'S RIVERSIDE HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330211,CLAXTON-HEPBURN MEDICAL CENTER,OGDENSBURG,NY,13669,Voluntary non-profit - Private,33,23679.15,15085.91,13477.58,rural,1,low income,1,74600,41835,16452,161,Ogdensburg,NY,2,2,1,2,2,2,3,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Acute Care Hospitals,NY - Syracuse,CLAXTON-HEPBURN MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330214,NYU LANGONE HOSPITALS,NEW YORK,NY,10016,Voluntary non-profit - Private,1400,130292.56,25621.53,19750.88,urban,3,middle income,2,759600,105324,54183,101814,New York,NY,3,3,3,2,2,1,3,5,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,NY - Manhattan,NYU LANGONE HOSPITALS
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330215,"ROME MEMORIAL HOSPITAL, INC",ROME,NY,13440,Voluntary non-profit - Private,31,52310.94,12486.48,11305.06,rural,1,middle income,2,97000,49755,42986,381,Rome,NY,2,,1,2,3,2,2,2,Same as the national average,Not Available,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Acute Care Hospitals,NY - Syracuse,"ROME MEMORIAL HOSPITAL, INC"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330218,OSWEGO HOSPITAL,OSWEGO,NY,13126,Voluntary non-profit - Private,26,29740.12,14763.38,12667.35,rural,1,middle income,2,96000,48062,37205,369,Oswego,NY,2,1,3,2,2,1,2,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Syracuse,OSWEGO HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330219,ERIE COUNTY MEDICAL CENTER,BUFFALO,NY,14215,Voluntary non-profit - Private,216,25418.1,19971.82,13967.13,suburban,2,low income,1,56200,31048,39999,8130,Buffalo,NY,2,1,1,2,2,1,2,3,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Buffalo,ERIE COUNTY MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330222,SARATOGA HOSPITAL,SARATOGA SPRINGS,NY,12866,Voluntary non-profit - Private,265,35727.77,12959.65,9635.92,rural,1,middle income,2,274400,67979,36915,551,Saratoga Springs,NY,2,3,3,3,2,1,3,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,NY - Albany,SARATOGA HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330223,MASSENA MEMORIAL HOSPITAL,MASSENA,NY,13662,Government - Local,24,35455.38,16246.96,14119.33,rural,1,low income,1,82500,41668,16582,187,Massena,NY,2,2,1,1,2,2,2,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,VT - Burlington,MASSENA MEMORIAL HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330226,UNITY HOSPITAL OF ROCHESTER,ROCHESTER,NY,14626,Voluntary non-profit - Private,278,25239.68,13940.34,10517.06,suburban,2,middle income,2,136500,53944,30041,2205,Rochester,NY,2,3,2,2,2,1,3,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,NY - Rochester,UNITY HOSPITAL OF ROCHESTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330229,BROOKS MEMORIAL HOSPITAL,DUNKIRK,NY,14048,Voluntary non-profit - Private,96,29146.6,13350.43,9401.01,rural,1,low income,1,66000,39566,15072,647,Dunkirk,NY,2,3,2,1,2,2,1,2,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Acute Care Hospitals,NY - Buffalo,BROOKS MEMORIAL HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330233,BROOKDALE HOSPITAL MEDICAL CENTER,BROOKLYN,NY,11212,Voluntary non-profit - Private,12,56625.58,23272.25,20960.58,urban,3,low income,1,391700,28348,84500,54944,Brooklyn,NY,2,1,1,1,1,1,2,1,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Manhattan,BROOKDALE HOSPITAL MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330234,WESTCHESTER MEDICAL CENTER,VALHALLA,NY,10595,Government - Hospital District or Authority,137,94891.91,22834.85,18536.26,suburban,2,middle income,2,606600,107708,8195,1372,Valhalla,NY,2,1,1,1,2,1,1,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Acute Care Hospitals,NY - White Plains,WESTCHESTER MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330235,AUBURN  COMMUNITY  HOSPITAL,AUBURN,NY,13021,Voluntary non-profit - Private,39,37667.85,15001.67,13761.05,rural,1,middle income,2,116100,46296,39506,329,Auburn,NY,2,1,1,1,2,1,2,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Syracuse,AUBURN  COMMUNITY  HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330236,NEW YORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL,BROOKLYN,NY,11215,Voluntary non-profit - Private,169,42552.79,21117.07,17647.92,urban,3,middle income,2,913200,95654,63488,29148,Brooklyn,NY,3,1,1,1,2,1,2,1,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Manhattan,NEW YORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330238,NICHOLAS H NOYES MEMORIAL HOSPITAL,DANSVILLE,NY,14437,Voluntary non-profit - Private,37,32643.95,13266.11,11415.08,rural,1,low income,1,89800,42938,11415,92,Dansville,NY,2,3,1,2,2,2,,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Not Available,Acute Care Hospitals,NY - Rochester,NICHOLAS H NOYES MEMORIAL HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330241,UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER,SYRACUSE,NY,13210,Government - State,219,54169.16,18365.94,13737.99,suburban,2,low income,1,119000,24591,27606,6046,Syracuse,NY,2,1,1,1,2,1,1,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Acute Care Hospitals,NY - Syracuse,UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330245,ST ELIZABETH MEDICAL CENTER,UTICA,NY,13501,Voluntary non-profit - Private,360,34353.24,13083.36,10693.26,suburban,2,low income,1,94800,31519,38546,4406,Utica,NY,2,1,1,1,2,1,2,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Elmira,ST ELIZABETH MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330246,ST CHARLES HOSPITAL,PORT JEFFERSON,NY,11777,Voluntary non-profit - Private,276,80861.43,16803.42,14264.79,suburban,2,middle income,2,517800,109696,8968,2056,Port Jefferson,NY,2,3,1,1,2,1,2,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - East Long Island,ST CHARLES HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,PLATTSBURGH,NY,12901,Voluntary non-profit - Private,111,44220.77,18497.32,16999.94,rural,1,low income,1,134500,43010,33439,440,Plattsburgh,NY,3,3,1,1,2,1,3,3,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,VT - Burlington,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330259,MERCY MEDICAL CENTER,ROCKVILLE CENTRE,NY,11570,Voluntary non-profit - Private,66,108776.38,16058.91,14243.65,suburban,2,middle income,2,600400,104503,26646,7245,Rockville Centre,NY,2,3,1,1,2,1,2,1,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - East Long Island,MERCY MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330261,PHELPS MEMORIAL HOSPITAL ASSN,SLEEPY HOLLOW,NY,10591,Voluntary non-profit - Other,197,106496.93,18228.66,16348.13,suburban,2,middle income,2,543400,80814,22540,2279,Tarrytown,NY,2,1,1,3,2,1,2,3,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - White Plains,PHELPS MEMORIAL HOSPITAL ASSN
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330264,ST LUKE'S CORNWALL HOSPITAL,NEWBURGH,NY,12550,Voluntary non-profit - Other,173,46429.72,15857.24,13670.08,suburban,2,middle income,2,255000,56444,54447,1568,Newburgh,NY,2,1,1,1,2,1,3,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,NY - White Plains,ST LUKE'S CORNWALL HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330267,NEW YORK-PRESBYTERIAN/HUDSON VALLEY HOSPITAL,CORTLANDT MANOR,NY,10567,Voluntary non-profit - Private,145,111089.1,15903.07,13642.4,rural,1,middle income,2,413800,105199,19929,900,Cortlandt Manor,NY,2,2,1,2,2,1,2,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - White Plains,NEW YORK-PRESBYTERIAN/HUDSON VALLEY HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330270,HOSPITAL FOR SPECIAL SURGERY,NEW YORK,NY,10021,Voluntary non-profit - Private,4255,70572.01,21217.73,14447.55,suburban,2,middle income,2,1000001,107907,43631,112711,New York,NY,,3,,3,2,,,5,Not Available,Above the national average,Not Available,Above the national average,Same as the national average,Not Available,Not Available,Acute Care Hospitals,NY - Manhattan,HOSPITAL FOR SPECIAL SURGERY
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330273,PUTNAM HOSPITAL CENTER,CARMEL,NY,10512,Voluntary non-profit - Private,277,54808.35,14297.56,12441.79,rural,1,middle income,2,339600,87802,25590,469,Carmel,NY,2,3,1,2,2,2,2,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,CT - New Haven,PUTNAM HOSPITAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330276,NATHAN LITTAUER HOSPITAL,GLOVERSVILLE,NY,12078,Voluntary non-profit - Private,34,41797.44,14729,12337.94,rural,1,low income,1,88400,37766,23773,219,Gloversville,NY,2,2,3,1,2,3,2,4,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Acute Care Hospitals,NY - Albany,NATHAN LITTAUER HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330277,CORNING HOSPITAL,CORNING,NY,14830,Voluntary non-profit - Private,128,39079.7,11730.2,10339.89,rural,1,middle income,2,98300,51902,19850,221,Corning,NY,2,3,1,2,2,2,2,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,PA - Sayre,CORNING HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330279,MERCY HOSPITAL OF BUFFALO,BUFFALO,NY,14220,Voluntary non-profit - Private,51,28405.06,15191.75,11070.12,suburban,2,middle income,2,80800,45831,24227,6370,Buffalo,NY,1,1,3,1,2,1,2,1,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Buffalo,MERCY HOSPITAL OF BUFFALO
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330285,STRONG MEMORIAL HOSPITAL,ROCHESTER,NY,14642,Voluntary non-profit - Private,23,34106.43,20141.09,13057.43,,,,,,,,,,,2,1,1,3,2,1,1,1,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Acute Care Hospitals,NY - Rochester,STRONG MEMORIAL HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330286,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,WEST ISLIP,NY,11795,Voluntary non-profit - Church,146,128606.67,16747.01,14957.62,suburban,2,middle income,2,425600,104923,26030,4580,West Islip,NY,2,1,1,1,2,1,3,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,NY - East Long Island,GOOD SAMARITAN HOSPITAL MEDICAL CENTER
