,DRG Definition,Provider ID,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Hospital Name,Zipcode,Score,Score Range,Rank,Rank Range,Function,City,State_x,Score Percentile,Rank Percentile,Major City,State_y,Population,Population Density,Median Home Value,median Household Income
331,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60028,SAINT JOSEPH HOSPITAL,1375 EAST 19TH AVENUE,DENVER,CO,80218,CO - Denver,224,78660.0,17607.97,13459.75,SAINT JOSEPH HOSPITAL,80218,2.1,3,16,34,Consumer Satisfaction,DENVER,CO,0.7000000000000001,0.4705882352941176,Denver,CO,17928.0,11202.0,336000.0,45597.0
332,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60015,CENTURA HEALTH-ST ANTHONY HOSPITAL,11600 WEST 2ND PLACE,LAKEWOOD,CO,80228,CO - Denver,29,98235.28,14896.1,11375.55,CENTURA HEALTH-ST ANTHONY HOSPITAL,80228,2.0,3,14,34,Consumer Satisfaction,LAKEWOOD,CO,0.6666666666666666,0.4117647058823529,Denver,CO,30138.0,2735.0,269600.0,68323.0
333,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60124,ORTHOCOLORADO HOSPITAL AT ST ANTHONY MED CAMPUS,11650 WEST 2ND PLACE,LAKEWOOD,CO,80228,CO - Denver,573,69293.34,13617.98,9852.41,ORTHOCOLORADO HOSPITAL AT ST ANTHONY MED CAMPUS,80228,2.2,3,26,34,Consumer Satisfaction,LAKEWOOD,CO,0.7333333333333334,0.7647058823529411,Denver,CO,30138.0,2735.0,269600.0,68323.0
334,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60016,CENTURA HEALTH-ST THOMAS MORE HOSPITAL,1338 PHAY AVE,CANON CITY,CO,81212,CO - Colorado Springs,48,70230.08,18618.75,15469.9,CENTURA HEALTH-ST THOMAS MORE HOSPITAL,81212,1.9,3,8,34,Consumer Satisfaction,CANON CITY,CO,0.6333333333333333,0.2352941176470588,Canon City,CO,29742.0,48.0,159700.0,40138.0
335,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60020,PARKVIEW MEDICAL CENTER INC,400 W 16TH STREET,PUEBLO,CO,81003,CO - Pueblo,238,94046.99,14732.07,12258.28,PARKVIEW MEDICAL CENTER INC,81003,2.1,3,16,34,Consumer Satisfaction,PUEBLO,CO,0.7000000000000001,0.4705882352941176,Pueblo,CO,14939.0,1861.0,89100.0,28273.0
336,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60022,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,1400 E BOULDER ST,COLORADO SPRINGS,CO,80909,CO - Colorado Springs,355,67859.83,14088.75,11774.74,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,80909,1.7,3,1,34,Consumer Satisfaction,COLORADO SPRINGS,CO,0.5666666666666667,0.029411764705882356,Colorado Springs,CO,35739.0,4265.0,167000.0,38976.0
337,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60027,FOOTHILLS HOSPITAL,4747 ARAPAHOE AVENUE,BOULDER,CO,80303,CO - Boulder,337,72639.38,12401.7,10269.23,BOULDER COMMUNITY FOOTHILLS HOSPITAL,80304,2.2,3,22,34,Consumer Satisfaction,BOULDER,CO,0.7333333333333334,0.6470588235294118,Boulder,CO,25623.0,2802.0,581500.0,77493.0
338,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60030,MCKEE MEDICAL CENTER,2000 BOISE AVE,LOVELAND,CO,80538,CO - Greeley,84,52286.14,14444.01,10980.02,MCKEE MEDICAL CENTER,80538,2.1,3,18,34,Consumer Satisfaction,LOVELAND,CO,0.7000000000000001,0.5294117647058824,Loveland,CO,43930.0,407.0,224800.0,61799.0
339,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60119,MEDICAL CENTER OF THE ROCKIES,2500 ROCKY MOUNTAIN AVENUE,LOVELAND,CO,80538,CO - Greeley,259,68938.65,14375.11,11031.15,MEDICAL CENTER OF THE ROCKIES,80538,2.2,3,24,34,Consumer Satisfaction,LOVELAND,CO,0.7333333333333334,0.7058823529411765,Loveland,CO,43930.0,407.0,224800.0,61799.0
340,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60031,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,2222 N NEVADA AVE,COLORADO SPRINGS,CO,80907,CO - Colorado Springs,911,66785.19,13217.51,10736.49,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,80907,2.1,3,21,34,Consumer Satisfaction,COLORADO SPRINGS,CO,0.7000000000000001,0.6176470588235294,Colorado Springs,CO,26758.0,2707.0,171400.0,42263.0
341,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60032,ROSE MEDICAL CENTER,4567 E 9TH AVENUE,DENVER,CO,80220,CO - Denver,306,104982.37,15216.97,11479.63,ROSE MEDICAL CENTER,80220,2.0,3,13,34,Consumer Satisfaction,DENVER,CO,0.6666666666666666,0.38235294117647056,Denver,CO,33529.0,6397.0,360200.0,62989.0
342,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60034,SWEDISH MEDICAL CENTER,501 E HAMPDEN AVENUE,ENGLEWOOD,CO,80113,CO - Denver,228,92254.74,14812.82,10850.83,SWEDISH MEDICAL CENTER,80113,1.9,3,8,34,Consumer Satisfaction,ENGLEWOOD,CO,0.6333333333333333,0.2352941176470588,Englewood,CO,20562.0,2719.0,275700.0,53185.0
343,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60044,COLORADO PLAINS MEDICAL CENTER,1000 LINCOLN ST,FORT MORGAN,CO,80701,CO - Greeley,37,95895.35,18844.38,15237.24,COLORADO PLAINS MEDICAL CENTER,80701,2.1,3,18,34,Consumer Satisfaction,FORT MORGAN,CO,0.7000000000000001,0.5294117647058824,Fort Morgan,CO,16042.0,26.0,138600.0,44729.0
344,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60049,UCHEALTH YAMPA VALLEY MEDICAL CENTER,1024 CENTRAL PARK DR,STEAMBOAT SPRINGS,CO,80487,CO - Denver,81,47778.36,24412.43,22572.42,YAMPA VALLEY MEDICAL CENTER,80487,2.3,3,33,34,Consumer Satisfaction,STEAMBOAT SPRINGS,CO,0.7666666666666666,0.9705882352941176,Steamboat Springs,CO,16745.0,23.0,508700.0,64975.0
345,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60054,COMMUNITY HOSPITAL,2351 G RD,GRAND JUNCTION,CO,81505,CO - Grand Junction,120,51740.92,12520.12,10691.5,COMMUNITY HOSPITAL,81501,2.0,3,12,34,Consumer Satisfaction,GRAND JUNCTION,CO,0.6666666666666666,0.35294117647058826,Grand Junction,CO,23465.0,2954.0,171500.0,36717.0
346,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60064,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,2525 SOUTH DOWNING STREET,DENVER,CO,80210,CO - Denver,697,66363.68,14135.52,10755.11,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,80210,2.2,3,24,34,Consumer Satisfaction,DENVER,CO,0.7333333333333334,0.7058823529411765,Denver,CO,33946.0,5597.0,395600.0,66788.0
347,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60065,NORTH SUBURBAN MEDICAL CENTER,9191 GRANT ST,THORNTON,CO,80229,CO - Denver,37,115670.54,16416.84,10648.0,NORTH SUBURBAN MEDICAL CENTER,80229,1.8,3,5,34,Consumer Satisfaction,THORNTON,CO,0.6,0.14705882352941174,Denver,CO,49598.0,3769.0,149000.0,47403.0
348,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60071,DELTA COUNTY MEMORIAL HOSPITAL,1501 E 3RD STREET,DELTA,CO,81416,CO - Grand Junction,121,39860.74,14678.33,12348.03,DELTA COUNTY MEMORIAL HOSPITAL,81416,2.1,3,21,34,Consumer Satisfaction,DELTA,CO,0.7000000000000001,0.6176470588235294,Delta,CO,13874.0,41.0,173900.0,41718.0
349,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60075,VALLEY VIEW HOSPITAL ASSOCIATION,1906 BLAKE AVE,GLENWOOD SPRINGS,CO,81601,CO - Grand Junction,91,67063.32,21496.7,17447.12,VALLEY VIEW HOSPITAL ASSOCIATION,81601,2.1,3,21,34,Consumer Satisfaction,GLENWOOD SPRINGS,CO,0.7000000000000001,0.6176470588235294,Glenwood Springs,CO,15442.0,45.0,428300.0,58954.0
350,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60076,STERLING REGIONAL MEDCENTER,615 FAIRHURST ST,STERLING,CO,80751,CO - Greeley,34,48797.65,18119.85,15228.38,STERLING REGIONAL MEDCENTER,80751,2.2,3,24,34,Consumer Satisfaction,STERLING,CO,0.7333333333333334,0.7058823529411765,Sterling,CO,18857.0,40.0,120700.0,38946.0
351,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60096,VAIL HEALTH HOSPITAL,181 WEST MEADOW DRIVE,VAIL,CO,81657,CO - Denver,185,44749.43,31247.49,29033.37,VAIL VALLEY MEDICAL CENTER,81657,2.2,3,26,34,Consumer Satisfaction,VAIL,CO,0.7333333333333334,0.7647058823529411,Vail,CO,5581.0,50.0,625500.0,73170.0
352,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60100,"MEDICAL CENTER OF AURORA, THE",1501 S POTOMAC ST,AURORA,CO,80012,CO - Denver,139,114414.18,15149.06,10235.75,"MEDICAL CENTER OF AURORA, THE",80012,2.0,3,12,34,Consumer Satisfaction,AURORA,CO,0.6666666666666666,0.35294117647058826,Aurora,CO,46665.0,6010.0,163300.0,40989.0
353,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60103,CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL,100 HEALTH PARK DRIVE,LOUISVILLE,CO,80027,CO - Boulder,105,70219.35,15341.2,11861.05,CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL,80027,2.0,3,14,34,Consumer Satisfaction,LOUISVILLE,CO,0.6666666666666666,0.4117647058823529,Louisville,CO,31034.0,1598.0,381300.0,95635.0
354,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60112,SKY RIDGE MEDICAL CENTER,10101 RIDGEGATE PARKWAY,LONE TREE,CO,80124,CO - Denver,674,128608.74,13576.35,9551.5,SKY RIDGE MEDICAL CENTER,80124,2.2,3,26,34,Consumer Satisfaction,LONE TREE,CO,0.7333333333333334,0.7647058823529411,Lone Tree,CO,18020.0,1900.0,380900.0,98687.0
355,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60113,CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL,7700 S BROADWAY,LITTLETON,CO,80122,CO - Denver,122,81303.13,13908.07,10204.95,CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL,80122,2.1,3,18,34,Consumer Satisfaction,LITTLETON,CO,0.7000000000000001,0.5294117647058824,Littleton,CO,29783.0,4220.0,276500.0,78722.0
356,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60114,PARKER ADVENTIST HOSPITAL,9395 CROWN CREST BLVD,PARKER,CO,80138,CO - Denver,164,74315.65,13873.49,10263.17,PARKER ADVENTIST HOSPITAL,80138,2.1,3,18,34,Consumer Satisfaction,PARKER,CO,0.7000000000000001,0.5294117647058824,Parker,CO,29786.0,471.0,340500.0,99316.0
357,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60116,GOOD SAMARITAN MEDICAL CENTER,200 EXEMPLA CIRCLE,LAFAYETTE,CO,80026,CO - Boulder,78,85825.21,14183.29,8228.46,GOOD SAMARITAN MEDICAL CENTER,80026,2.2,3,22,34,Consumer Satisfaction,LAFAYETTE,CO,0.7333333333333334,0.6470588235294118,Lafayette,CO,26378.0,1184.0,273400.0,71117.0
358,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,60118,ST ANTHONY SUMMIT MEDICAL CENTER,340 PEAK ONE DRIVE,FRISCO,CO,80443,CO - Denver,60,74065.7,18120.8,14104.67,ST ANTHONY SUMMIT MEDICAL CENTER,80443,2.0,3,13,34,Consumer Satisfaction,FRISCO,CO,0.6666666666666666,0.38235294117647056,Frisco,CO,3676.0,35.0,492400.0,69762.0
359,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,70002,ST FRANCIS HOSPITAL & MEDICAL CENTER,114 WOODLAND STREET,HARTFORD,CT,6105,CT - Hartford,1183,41788.01,18231.22,13130.12,ST FRANCIS HOSPITAL & MEDICAL CENTER,6105,1.9,3,7,34,Consumer Satisfaction,HARTFORD,CT,0.6333333333333333,0.2058823529411765,Hartford,CT,19392.0,8262.0,286200.0,30657.0
360,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,70003,DAY KIMBALL HOSPITAL,320 POMFRET STREET,PUTNAM,CT,6260,CT - Hartford,30,31683.23,12389.83,11135.43,DAY KIMBALL HOSPITAL,6260,2.1,3,16,34,Consumer Satisfaction,PUTNAM,CT,0.7000000000000001,0.4705882352941176,Putnam,CT,9510.0,476.0,201100.0,46657.0
361,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,70004,SHARON HOSPITAL,50 HOSPITAL HILL ROAD,SHARON,CT,6069,CT - Hartford,21,58620.62,20369.76,18168.19,SHARON HOSPITAL,6069,2.1,3,16,34,Consumer Satisfaction,SHARON,CT,0.7000000000000001,0.4705882352941176,Sharon,CT,2535.0,51.0,474400.0,73958.0
362,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,70007,LAWRENCE & MEMORIAL HOSPITAL,365 MONTAUK AVE,NEW LONDON,CT,6320,CT - New Haven,352,31711.38,16884.3,13404.11,LAWRENCE & MEMORIAL HOSPITAL,6320,1.7,3,1,34,Consumer Satisfaction,NEW LONDON,CT,0.5666666666666667,0.029411764705882356,New London,CT,27617.0,4993.0,188700.0,43357.0
363,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,70008,JOHNSON MEMORIAL HOSPITAL,201 CHESTNUT HILL ROAD,STAFFORD SPRINGS,CT,6076,CT - Hartford,16,40316.88,16513.62,11497.0,JOHNSON MEMORIAL HOSPITAL,6076,1.8,3,4,34,Consumer Satisfaction,STAFFORD SPRINGS,CT,0.6,0.1176470588235294,Stafford Springs,CT,12659.0,148.0,200700.0,63750.0
364,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,70010,BRIDGEPORT HOSPITAL,267 GRANT STREET,BRIDGEPORT,CT,6610,CT - Bridgeport,205,44712.84,20190.82,15022.67,BRIDGEPORT HOSPITAL,6610,1.9,3,9,34,Consumer Satisfaction,BRIDGEPORT,CT,0.6333333333333333,0.2647058823529412,Bridgeport,CT,22735.0,7435.0,157900.0,38300.0
365,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,70011,CHARLOTTE HUNGERFORD HOSPITAL,540 LITCHFIELD ST,TORRINGTON,CT,6790,CT - Hartford,17,28426.53,13968.12,12665.29,CHARLOTTE HUNGERFORD HOSPITAL,6790,2.0,3,12,34,Consumer Satisfaction,TORRINGTON,CT,0.6666666666666666,0.35294117647058826,Torrington,CT,36482.0,878.0,180000.0,51799.0
366,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,70016,SAINT MARY'S HOSPITAL,56 FRANKLIN STEET,WATERBURY,CT,6706,CT - New Haven,98,49012.39,18792.7,16106.26,SAINT MARYS HOSPITAL,6706,1.8,3,3,34,Consumer Satisfaction,WATERBURY,CT,0.6,0.08823529411764706,Waterbury,CT,14324.0,3859.0,146100.0,47837.0
367,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,70017,MIDSTATE MEDICAL CENTER,435 LEWIS AVENUE,MERIDEN,CT,6450,CT - New Haven,246,30233.98,14381.44,12624.85,MIDSTATE MEDICAL CENTER,6450,2.0,3,12,34,Consumer Satisfaction,MERIDEN,CT,0.6666666666666666,0.35294117647058826,Meriden,CT,36493.0,2600.0,191600.0,55759.0
368,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,70018,GREENWICH HOSPITAL ASSOCIATION -,5 PERRYRIDGE RD,GREENWICH,CT,6830,CT - Bridgeport,353,70922.26,17043.61,13456.67,GREENWICH HOSPITAL ASSOCIATION,6830,2.2,3,24,34,Consumer Satisfaction,GREENWICH,CT,0.7333333333333334,0.7058823529411765,Greenwich,CT,24027.0,1775.0,1000001.0,109860.0
369,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,70019,"MILFORD HOSPITAL, INC",300 SEASIDE AVENUE,MILFORD,CT,6460,CT - New Haven,270,57369.52,14994.45,12274.88,"MILFORD HOSPITAL, INC",6460,2.3,3,28,34,Consumer Satisfaction,MILFORD,CT,0.7666666666666666,0.8235294117647058,Milford,CT,38207.0,3044.0,305200.0,77744.0
370,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,70020,MIDDLESEX HOSPITAL,28 CRESCENT ST,MIDDLETOWN,CT,6457,CT - Hartford,249,59550.21,15615.67,12732.58,MIDDLESEX HOSPITAL,6457,2.1,3,16,34,Consumer Satisfaction,MIDDLETOWN,CT,0.7000000000000001,0.4705882352941176,Middletown,CT,47648.0,1162.0,234900.0,59994.0
371,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,70021,WINDHAM COMM MEM HOSP & HATCH HOSP,112 MANSFIELD AVENUE,WILLIMANTIC,CT,6226,CT - Hartford,69,35387.0,17691.57,15911.13,WINDHAM COMM MEM HOSP & HATCH HOSP,6226,1.8,3,5,34,Consumer Satisfaction,WILLIMANTIC,CT,0.6,0.14705882352941174,Willimantic,CT,20114.0,2782.0,168300.0,33723.0
372,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,70024,WILLIAM W BACKUS HOSPITAL,326 WASHINGTON ST,NORWICH,CT,6360,CT - Hartford,219,30377.66,14907.43,11542.04,WILLIAM W BACKUS HOSPITAL,6360,2.0,3,12,34,Consumer Satisfaction,NORWICH,CT,0.6666666666666666,0.35294117647058826,Norwich,CT,37541.0,1393.0,186800.0,49620.0
373,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,70027,MANCHESTER MEMORIAL HOSPITAL,71 HAYNES ST,MANCHESTER,CT,6040,CT - Hartford,121,36143.49,15145.7,12121.47,MANCHESTER MEMORIAL HOSPITAL,6040,1.7,3,1,34,Consumer Satisfaction,MANCHESTER,CT,0.5666666666666667,0.029411764705882356,Manchester,CT,35306.0,2081.0,212900.0,62674.0
374,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,70028,ST VINCENT'S MEDICAL CENTER,2800 MAIN ST,BRIDGEPORT,CT,6606,CT - Bridgeport,142,60834.72,17596.56,14686.65,ST VINCENT'S MEDICAL CENTER,6606,1.7,3,2,34,Consumer Satisfaction,BRIDGEPORT,CT,0.5666666666666667,0.05882352941176471,Bridgeport,CT,46236.0,8739.0,196300.0,52324.0
375,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,70031,GRIFFIN HOSPITAL,130 DIVISION ST,DERBY,CT,6418,CT - New Haven,232,50362.2,17094.97,14191.82,GRIFFIN HOSPITAL,6418,2.0,3,13,34,Consumer Satisfaction,DERBY,CT,0.6666666666666666,0.38235294117647056,Derby,CT,12914.0,2548.0,221400.0,53098.0
376,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,70033,DANBURY HOSPITAL,24 HOSPITAL AVE,DANBURY,CT,6810,CT - New Haven,466,49094.22,17844.9,14516.32,DANBURY HOSPITAL,6810,1.9,3,8,34,Consumer Satisfaction,DANBURY,CT,0.6333333333333333,0.2352941176470588,Danbury,CT,49482.0,2392.0,276900.0,53944.0
377,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,70036,JOHN DEMPSEY HOSPITAL,263 FARMINGTON AVE,FARMINGTON,CT,6032,CT - Hartford,108,41507.16,23052.73,19089.62,JOHN DEMPSEY HOSPITAL,6032,1.8,3,5,34,Consumer Satisfaction,FARMINGTON,CT,0.6,0.14705882352941174,Farmington,CT,17675.0,776.0,350200.0,93810.0
378,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,80004,"BAYHEALTH HOSPITAL, KENT CAMPUS",640 S STATE STREET,DOVER,DE,19901,DE - Wilmington,221,43496.43,13423.09,11397.62,BAYHEALTH - KENT GENERAL HOSPITAL,19901,1.9,3,8,34,Consumer Satisfaction,DOVER,DE,0.6333333333333333,0.2352941176470588,Dover,DE,35055.0,439.0,186600.0,47232.0
379,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,80006,NANTICOKE MEMORIAL HOSPITAL,801 MIDDLEFORD RD,SEAFORD,DE,19973,MD - Salisbury,155,41185.41,15755.67,13298.88,NANTICOKE MEMORIAL HOSPITAL,19973,2.1,3,21,34,Consumer Satisfaction,SEAFORD,DE,0.7000000000000001,0.6176470588235294,Seaford,DE,23838.0,303.0,191800.0,45600.0
380,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,80007,BEEBE MEDICAL CENTER,424 SAVANNAH RD,LEWES,DE,19958,MD - Salisbury,578,51755.9,13427.31,11026.34,BEEBE MEDICAL CENTER,19958,1.9,3,9,34,Consumer Satisfaction,LEWES,DE,0.6333333333333333,0.2647058823529412,Lewes,DE,19650.0,401.0,318300.0,54938.0
381,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,80009,BAYHEALTH - MILFORD MEMORIAL HOSPITAL,21 WEST CLARKE AVENUE,MILFORD,DE,19963,MD - Salisbury,147,41339.56,12868.73,10866.95,BAYHEALTH - MILFORD MEMORIAL HOSPITAL,19963,1.8,3,6,34,Consumer Satisfaction,MILFORD,DE,0.6,0.17647058823529413,Milford,DE,19206.0,180.0,209200.0,52766.0
382,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,90001,GEORGE WASHINGTON UNIV HOSPITAL,900 23RD ST NW,WASHINGTON,DC,20037,DC - Washington,89,97627.0,19238.38,15250.87,GEORGE WASHINGTON UNIV HOSPITAL,20037,1.7,3,2,34,Consumer Satisfaction,WASHINGTON,DC,0.5666666666666667,0.05882352941176471,Washington,DC,14642.0,22724.0,562300.0,76948.0
383,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,90004,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,3800 RESERVOIR RD,WASHINGTON,DC,20007,DC - Washington,232,73183.02,20572.05,13910.3,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,20007,1.8,3,4,34,Consumer Satisfaction,WASHINGTON,DC,0.6,0.1176470588235294,Washington,DC,26866.0,8935.0,820700.0,107511.0
384,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,90005,SIBLEY MEMORIAL HOSPITAL,5255 LOUGHBORO RD NW,WASHINGTON,DC,20016,DC - Washington,725,35050.28,12643.15,9940.08,SIBLEY MEMORIAL HOSPITAL,20016,2.0,3,13,34,Consumer Satisfaction,WASHINGTON,DC,0.6666666666666666,0.38235294117647056,Washington,DC,32519.0,7324.0,817000.0,118141.0
385,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,90006,PROVIDENCE HOSPITAL,1150 VARNUM ST NE,WASHINGTON,DC,20017,DC - Washington,91,32582.58,16660.04,14270.22,PROVIDENCE HOSPITAL,20017,1.8,3,6,34,Consumer Satisfaction,WASHINGTON,DC,0.6,0.17647058823529413,Washington,DC,17735.0,8026.0,344900.0,56980.0
386,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,90011,MEDSTAR WASHINGTON HOSPITAL CENTER,110 IRVING ST NW,WASHINGTON,DC,20010,DC - Washington,182,82135.33,17707.03,13185.15,MEDSTAR WASHINGTON HOSPITAL CENTER,20010,1.7,3,1,34,Consumer Satisfaction,WASHINGTON,DC,0.5666666666666667,0.029411764705882356,Washington,DC,30138.0,27801.0,474500.0,65287.0
387,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,100001,UF HEALTH JACKSONVILLE,655 W 8TH ST,JACKSONVILLE,FL,32209,FL - Jacksonville,30,87935.53,17881.7,16119.43,UF HEALTH JACKSONVILLE,32209,1.8,3,4,34,Consumer Satisfaction,JACKSONVILLE,FL,0.6,0.1176470588235294,Jacksonville,FL,34305.0,3675.0,73700.0,21273.0
388,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,100002,BETHESDA HOSPITAL EAST,2815 S SEACREST BLVD,BOYNTON BEACH,FL,33435,FL - Fort Lauderdale,503,52836.83,13338.32,11679.59,BETHESDA HOSPITAL EAST,33435,1.7,3,2,34,Consumer Satisfaction,BOYNTON BEACH,FL,0.5666666666666667,0.05882352941176471,Boynton Beach,FL,32104.0,4879.0,128600.0,38296.0
389,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,100006,ORLANDO HEALTH,52 W UNDERWOOD ST,ORLANDO,FL,32806,FL - Orlando,1180,88511.68,15021.58,12052.72,ORLANDO HEALTH,32806,1.8,3,6,34,Consumer Satisfaction,ORLANDO,FL,0.6,0.17647058823529413,Orlando,FL,24820.0,3726.0,194300.0,51996.0
