Provider ID,Hospital name,City,State,Payment,Lower estimate,Higher estimate,Payment category,Value of care display name,Value of care category
431326,MILBANK AREA HOSPITAL/AVERA HEALTH,MILBANK,SD,"$19,135","$16,451","$21,804",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
431338,AVERA GREGORY HOSPITAL,GREGORY,SD,"$16,384","$14,026","$19,045",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
431338,AVERA GREGORY HOSPITAL,GREGORY,SD,"$17,510","$15,539","$19,517",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
440012,BRISTOL REGIONAL MEDICAL CENTER,BRISTOL,TN,"$23,587","$21,989","$25,390",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
440012,BRISTOL REGIONAL MEDICAL CENTER,BRISTOL,TN,"$17,117","$16,110","$18,173",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
440012,BRISTOL REGIONAL MEDICAL CENTER,BRISTOL,TN,"$17,037","$16,253","$17,861",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
440012,BRISTOL REGIONAL MEDICAL CENTER,BRISTOL,TN,"$20,027","$19,367","$20,688",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
440082,SAINT THOMAS WEST HOSPITAL,NASHVILLE,TN,"$25,346","$24,149","$26,595",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
440082,SAINT THOMAS WEST HOSPITAL,NASHVILLE,TN,"$18,457","$17,658","$19,300",Greater Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Higher Payment
440082,SAINT THOMAS WEST HOSPITAL,NASHVILLE,TN,"$17,894","$17,087","$18,648",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
440082,SAINT THOMAS WEST HOSPITAL,NASHVILLE,TN,"$17,120","$16,654","$17,573",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
440175,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM LAWRENCE,LAWRENCEBURG,TN,"$17,246","$15,627","$19,031",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
440175,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM LAWRENCE,LAWRENCEBURG,TN,"$16,636","$15,377","$17,915",No Different Than the National Average Payment,Value of Care Pneumonia measure,Better Mortality and Average Payment
450044,UT SOUTHWESTERN UNIVERSITY HOSPITAL,DALLAS,TX,"$26,292","$23,701","$29,233",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
450044,UT SOUTHWESTERN UNIVERSITY HOSPITAL,DALLAS,TX,"$17,448","$16,521","$18,433",No Different Than the National Average Payment,Value of Care Heart Failure measur,Better Mortality and Average Payment
450044,UT SOUTHWESTERN UNIVERSITY HOSPITAL,DALLAS,TX,"$17,134","$16,179","$18,118",No Different Than the National Average Payment,Value of Care Pneumonia measure,Better Mortality and Average Payment
450143,SETON SMITHVILLE REGIONAL HOSPITAL,SMITHVILLE,TX,"$16,858","$13,836","$19,932",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
450165,METHODIST HOSPITAL SOUTH,JOURDANTON,TX,"$16,259","$14,461","$18,336",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
450165,METHODIST HOSPITAL SOUTH,JOURDANTON,TX,"$17,929","$16,484","$19,516",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
450352,HUNT REGIONAL MEDICAL CENTER,GREENVILLE,TX,"$26,645","$23,986","$29,924",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
450352,HUNT REGIONAL MEDICAL CENTER,GREENVILLE,TX,"$18,406","$17,259","$19,663",Greater Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Higher Payment
450352,HUNT REGIONAL MEDICAL CENTER,GREENVILLE,TX,"$19,868","$18,811","$20,923",Greater Than the National Average Payment,Value of Care Pneumonia measure,Better Mortality and Higher Payment
450352,HUNT REGIONAL MEDICAL CENTER,GREENVILLE,TX,"$28,924","$27,165","$30,856",Greater Than the National Average Payment,Value of Care hip/knee replacement,Worse Complications and Higher Payment
450369,CHILDRESS REGIONAL MEDICAL CENTER,CHILDRESS,TX,"$15,480","$13,280","$17,822",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
450369,CHILDRESS REGIONAL MEDICAL CENTER,CHILDRESS,TX,"$13,196","$11,135","$15,208",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
450369,CHILDRESS REGIONAL MEDICAL CENTER,CHILDRESS,TX,"$19,677","$18,203","$21,326",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
450662,VALLEY REGIONAL MEDICAL CENTER,BROWNSVILLE,TX,"$27,311","$24,832","$30,066",Greater Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Higher Payment
450662,VALLEY REGIONAL MEDICAL CENTER,BROWNSVILLE,TX,"$18,488","$17,240","$19,828",Greater Than the National Average Payment,Value of Care Heart Failure measur,Better Mortality and Higher Payment
450662,VALLEY REGIONAL MEDICAL CENTER,BROWNSVILLE,TX,"$22,304","$21,148","$23,491",Greater Than the National Average Payment,Value of Care Pneumonia measure,Better Mortality and Higher Payment
450662,VALLEY REGIONAL MEDICAL CENTER,BROWNSVILLE,TX,"$25,538","$23,371","$27,914",Greater Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Higher Payment
450766,UT SOUTHWESTERN UNIVERSITY HOSPITAL-ZALE LIPSHY,DALLAS,TX,"$23,873","$22,694","$25,127",Greater Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Higher Payment
450775,HCA HOUSTON HEALTHCARE KINGWOOD,KINGWOOD,TX,"$28,925","$26,527","$31,658",Greater Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Higher Payment
450775,HCA HOUSTON HEALTHCARE KINGWOOD,KINGWOOD,TX,"$19,438","$18,403","$20,496",Greater Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Higher Payment
450775,HCA HOUSTON HEALTHCARE KINGWOOD,KINGWOOD,TX,"$21,684","$20,580","$22,830",Greater Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Higher Payment
450775,HCA HOUSTON HEALTHCARE KINGWOOD,KINGWOOD,TX,"$27,245","$24,055","$30,997",Greater Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Higher Payment
451365,SETON HIGHLAND LAKES,BURNET,TX,"$17,553","$15,559","$19,729",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
451341,HASKELL MEMORIAL HOSPITAL,HASKELL,TX,"$20,905","$17,596","$24,016",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
451361,SABINE COUNTY HOSPITAL,HEMPHILL,TX,"$18,212","$15,781","$20,682",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
451365,SETON HIGHLAND LAKES,BURNET,TX,"$26,754","$24,546","$29,200",Greater Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Higher Payment
460014,MOUNTAIN WEST MEDICAL CENTER,TOOELE,UT,"$16,361","$14,040","$19,113",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
460014,MOUNTAIN WEST MEDICAL CENTER,TOOELE,UT,"$15,015","$13,680","$16,372",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
460014,MOUNTAIN WEST MEDICAL CENTER,TOOELE,UT,"$23,885","$22,114","$25,712",Greater Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Higher Payment
460049,THE ORTHOPEDIC SPECIALTY HOSPITAL,MURRAY,UT,"$20,572","$20,019","$21,152",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
470001,CENTRAL VERMONT MEDICAL CENTER,BARRE,VT,"$23,811","$21,533","$26,178",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
470001,CENTRAL VERMONT MEDICAL CENTER,BARRE,VT,"$15,896","$14,808","$17,059",Less Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Lower Payment
470001,CENTRAL VERMONT MEDICAL CENTER,BARRE,VT,"$16,524","$15,539","$17,520",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
470001,CENTRAL VERMONT MEDICAL CENTER,BARRE,VT,"$22,028","$20,795","$23,359",No Different Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Average Payment
471300,GRACE COTTAGE HOSPITAL,TOWNSHEND,VT,"$20,224","$17,112","$23,437",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
471306,SPRINGFIELD HOSPITAL,SPRINGFIELD,VT,"$24,308","$21,222","$27,670",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
471306,SPRINGFIELD HOSPITAL,SPRINGFIELD,VT,"$15,644","$14,236","$17,232",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
471306,SPRINGFIELD HOSPITAL,SPRINGFIELD,VT,"$15,586","$14,461","$16,674",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
471306,SPRINGFIELD HOSPITAL,SPRINGFIELD,VT,"$19,929","$18,445","$21,559",No Different Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Average Payment
480001,"ROY LESTER SCHNEIDER HOSPITAL,THE",ST THOMAS,VI,"$22,195","$19,449","$25,237",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
480001,"ROY LESTER SCHNEIDER HOSPITAL,THE",ST THOMAS,VI,"$13,193","$11,856","$14,663",Less Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Lower Payment
480001,"ROY LESTER SCHNEIDER HOSPITAL,THE",ST THOMAS,VI,"$13,422","$11,640","$15,117",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
480002,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,ST CROIX,VI,"$22,475","$19,612","$25,732",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
480002,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,ST CROIX,VI,"$13,946","$12,609","$15,415",Less Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Lower Payment
480002,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,ST CROIX,VI,"$14,849","$12,940","$16,878",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
480002,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,ST CROIX,VI,"$17,475","$15,952","$19,110",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
490032,MEDICAL COLLEGE OF VIRGINIA HOSPITALS,RICHMOND,VA,"$26,101","$24,013","$28,418",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
490032,MEDICAL COLLEGE OF VIRGINIA HOSPITALS,RICHMOND,VA,"$18,771","$17,806","$19,825",Greater Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Higher Payment
490032,MEDICAL COLLEGE OF VIRGINIA HOSPITALS,RICHMOND,VA,"$19,764","$18,497","$20,972",Greater Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Higher Payment
490032,MEDICAL COLLEGE OF VIRGINIA HOSPITALS,RICHMOND,VA,"$22,941","$22,038","$23,870",Greater Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Higher Payment
490117,CARILION TAZEWELL COMMUNITY HOSPITAL,TAZEWELL,VA,"$16,522","$14,401","$18,835",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
490117,CARILION TAZEWELL COMMUNITY HOSPITAL,TAZEWELL,VA,"$16,870","$14,877","$18,893",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
490126,LEWISGALE HOSPITAL ALLEGHANY,LOW MOOR,VA,"$15,850","$14,391","$17,382",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
490126,LEWISGALE HOSPITAL ALLEGHANY,LOW MOOR,VA,"$17,329","$15,421","$19,187",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
490126,LEWISGALE HOSPITAL ALLEGHANY,LOW MOOR,VA,"$21,182","$19,572","$22,839",No Different Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Average Payment
500044,MULTICARE DEACONESS HOSPITAL,SPOKANE,WA,"$24,881","$23,056","$26,891",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
500044,MULTICARE DEACONESS HOSPITAL,SPOKANE,WA,"$17,501","$16,335","$18,797",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
500044,MULTICARE DEACONESS HOSPITAL,SPOKANE,WA,"$17,535","$16,561","$18,576",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
500044,MULTICARE DEACONESS HOSPITAL,SPOKANE,WA,"$21,034","$20,226","$21,909",No Different Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Average Payment
500051,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,WA,"$22,836","$20,889","$24,940",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
500051,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,WA,"$14,534","$13,758","$15,353",Less Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Lower Payment
500051,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,WA,"$16,563","$15,742","$17,409",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
500051,OVERLAKE HOSPITAL MEDICAL CENTER,BELLEVUE,WA,"$18,981","$18,518","$19,469",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
500129,TACOMA GENERAL ALLENMORE HOSPITAL,TACOMA,WA,"$21,923","$20,265","$23,654",Less Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Lower Payment
500129,TACOMA GENERAL ALLENMORE HOSPITAL,TACOMA,WA,"$15,874","$15,139","$16,655",Less Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Lower Payment
500129,TACOMA GENERAL ALLENMORE HOSPITAL,TACOMA,WA,"$17,208","$16,440","$17,991",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
500129,TACOMA GENERAL ALLENMORE HOSPITAL,TACOMA,WA,"$19,783","$19,148","$20,454",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
501305,LINCOLN HOSPITAL,DAVENPORT,WA,"$17,560","$15,174","$20,334",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
501305,LINCOLN HOSPITAL,DAVENPORT,WA,"$20,402","$18,142","$22,722",Greater Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Higher Payment
510001,WEST VIRGINIA UNIVERSITY HOSPITALS,MORGANTOWN,WV,"$25,256","$23,628","$27,003",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
510001,WEST VIRGINIA UNIVERSITY HOSPITALS,MORGANTOWN,WV,"$17,836","$16,698","$19,121",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
510001,WEST VIRGINIA UNIVERSITY HOSPITALS,MORGANTOWN,WV,"$18,479","$17,362","$19,603",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
510001,WEST VIRGINIA UNIVERSITY HOSPITALS,MORGANTOWN,WV,"$19,082","$18,326","$19,882",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
510002,GREENBRIER VALLEY MEDICAL CENTER,RONCEVERTE,WV,"$24,187","$21,219","$27,612",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
510002,GREENBRIER VALLEY MEDICAL CENTER,RONCEVERTE,WV,"$16,765","$15,367","$18,396",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
510002,GREENBRIER VALLEY MEDICAL CENTER,RONCEVERTE,WV,"$16,669","$15,762","$17,564",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
510002,GREENBRIER VALLEY MEDICAL CENTER,RONCEVERTE,WV,"$22,069","$19,999","$24,371",No Different Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Average Payment
510072,WETZEL COUNTY HOSPITAL,NEW MARTINSVILLE,WV,"$16,941","$14,678","$19,222",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
511317,PLATEAU MEDICAL CENTER,OAK HILL,WV,"$16,099","$14,590","$17,665",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
520037,MARSHFIELD MEDICAL CENTER,MARSHFIELD,WI,"$25,246","$23,233","$27,538",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
520037,MARSHFIELD MEDICAL CENTER,MARSHFIELD,WI,"$16,417","$15,322","$17,628",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
520037,MARSHFIELD MEDICAL CENTER,MARSHFIELD,WI,"$16,617","$15,314","$17,931",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
520037,MARSHFIELD MEDICAL CENTER,MARSHFIELD,WI,"$19,789","$18,942","$20,675",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
520103,COMMUNITY MEMORIAL HOSPITAL,MENOMONEE FALLS,WI,"$26,439","$24,013","$29,500",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
520103,COMMUNITY MEMORIAL HOSPITAL,MENOMONEE FALLS,WI,"$18,284","$17,189","$19,447",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
520103,COMMUNITY MEMORIAL HOSPITAL,MENOMONEE FALLS,WI,"$19,124","$17,873","$20,403",Greater Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Higher Payment
520103,COMMUNITY MEMORIAL HOSPITAL,MENOMONEE FALLS,WI,"$19,622","$19,046","$20,220",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
520113,BAY AREA MEDICAL CENTER,MARINETTE,WI,"$23,611","$21,438","$25,975",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
520113,BAY AREA MEDICAL CENTER,MARINETTE,WI,"$17,006","$15,697","$18,408",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
520113,BAY AREA MEDICAL CENTER,MARINETTE,WI,"$19,118","$17,751","$20,535",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
520207,AURORA MEDICAL CENTER,GRAFTON,WI,"$26,461","$24,033","$29,226",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
520207,AURORA MEDICAL CENTER,GRAFTON,WI,"$16,455","$15,154","$17,842",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
520207,AURORA MEDICAL CENTER,GRAFTON,WI,"$16,089","$14,981","$17,242",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
520207,AURORA MEDICAL CENTER,GRAFTON,WI,"$18,843","$18,356","$19,377",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
521332,SPOONER HEALTH SYSTEM,SPOONER,WI,"$17,710","$15,293","$20,601",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
521332,SPOONER HEALTH SYSTEM,SPOONER,WI,"$18,893","$16,281","$21,437",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
650001,GUAM MEMORIAL HOSPITAL AUTHORITY,TAMUNING,GU,"$16,215","$14,483","$17,977",Less Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Lower Payment
650001,GUAM MEMORIAL HOSPITAL AUTHORITY,TAMUNING,GU,"$13,065","$11,758","$14,517",Less Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Lower Payment
650001,GUAM MEMORIAL HOSPITAL AUTHORITY,TAMUNING,GU,"$12,838","$11,695","$14,031",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
660001,COMMONWEALTH HEALTH CENTER,GARAPAN,MP,"$17,396","$15,156","$19,727",Less Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Lower Payment
660001,COMMONWEALTH HEALTH CENTER,GARAPAN,MP,"$10,908","$9,498","$12,438",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
670004,ST MARKS MEDICAL CENTER,LA GRANGE,TX,"$17,494","$15,395","$19,842",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
670004,ST MARKS MEDICAL CENTER,LA GRANGE,TX,"$20,803","$19,148","$22,504",Greater Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Higher Payment
670004,ST MARKS MEDICAL CENTER,LA GRANGE,TX,"$20,127","$19,062","$21,269",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
670062,BAYLOR EMERGENCY MEDICAL CENTER,AUBREY,TX,"$13,606","$11,061","$16,276",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
10086,NORTHWEST MEDICAL CENTER,WINFIELD,AL,"$15,548","$14,094","$17,037",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
10087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,MOBILE,AL,"$15,928","$13,808","$18,437",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
670119,PROVIDENCE HOSPITAL OF NORTH HOUSTON LLC,HOUSTON,TX,"$22,880","$20,520","$25,622",No Different Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Average Payment
670120,THE HOSPITALS OF PROVIDENCE TRANSMOUNTAIN CAMPUS,EL PASO,TX,"$25,554","$22,542","$29,064",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
670120,THE HOSPITALS OF PROVIDENCE TRANSMOUNTAIN CAMPUS,EL PASO,TX,"$18,402","$16,207","$20,996",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
670120,THE HOSPITALS OF PROVIDENCE TRANSMOUNTAIN CAMPUS,EL PASO,TX,"$19,732","$17,465","$22,025",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
10126,TROY REGIONAL MEDICAL CENTER,TROY,AL,"$15,561","$13,897","$17,273",Less Than the National Average Payment,Value of Care Pneumonia measure,Worse Mortality and Lower Payment
30010,ST. MARY'S HOSPITAL,TUCSON,AZ,"$22,838","$20,748","$25,036",No Different Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Average Payment
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",BESSEMER,AL,"$17,999","$16,365","$19,914",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
10091,GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,AL,"$16,595","$14,158","$18,987",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
10058,BIBB MEDICAL CENTER,CENTREVILLE,AL,"$17,737","$15,167","$20,750",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
30006,TUCSON MEDICAL CENTER,TUCSON,AZ,"$24,466","$22,724","$26,348",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
30007,VERDE VALLEY MEDICAL CENTER,COTTONWOOD,AZ,"$17,916","$16,412","$19,522",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
10168,JACK HUGHSTON MEMORIAL HOSPITAL,PHENIX CITY,AL,"$16,888","$14,439","$19,644",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,PHOENIX,AZ,"$19,294","$17,920","$20,635",Greater Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Higher Payment
10049,MEDICAL CENTER ENTERPRISE,ENTERPRISE,AL,"$16,653","$14,950","$18,445",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
10056,ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,"$17,654","$16,792","$18,516",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
10103,PRINCETON BAPTIST MEDICAL CENTER,BIRMINGHAM,AL,"$18,663","$17,211","$20,028",No Different Than the National Average Payment,Value of Care Pneumonia measure,Worse Mortality and Average Payment
21311,KETCHIKAN MEDICAL CENTER,KETCHIKAN,AK,"$17,684","$16,224","$19,350",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
30012,YAVAPAI REGIONAL MEDICAL CENTER,PRESCOTT,AZ,"$16,717","$15,531","$17,968",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
30022,MARICOPA MEDICAL CENTER,PHOENIX,AZ,"$17,099","$14,718","$19,694",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
30011,ST JOSEPH'S HOSPITAL,TUCSON,AZ,"$18,252","$17,173","$19,281",No Different Than the National Average Payment,Value of Care Pneumonia measure,Worse Mortality and Average Payment
21313,SOUTH PENINSULA HOSPITAL,HOMER,AK,"$18,104","$15,512","$20,739",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
10149,BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,"$27,067","$23,616","$30,939",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
10033,UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,"$16,097","$15,327","$16,912",Less Than the National Average Payment,Value of Care Heart Failure measur,Better Mortality and Lower Payment
30014,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,PHOENIX,AZ,"$25,949","$23,635","$28,442",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
10040,GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,"$20,246","$18,964","$21,609",Greater Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Higher Payment
10039,HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,"$23,459","$22,520","$24,490",Less Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Lower Payment
20008,BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,"$14,106","$12,529","$15,670",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
10021,DALE MEDICAL CENTER,OZARK,AL,"$17,538","$15,498","$19,786",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
10049,MEDICAL CENTER ENTERPRISE,ENTERPRISE,AL,"$22,231","$21,213","$23,257",No Different Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Average Payment
10169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,"$18,062","$16,089","$20,016",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
10058,BIBB MEDICAL CENTER,CENTREVILLE,AL,"$14,298","$12,593","$15,995",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
