DRG Definition,Provider ID,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,from the Outpatient_Data_2017_XLSX,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Hospital name,Payment measure name,Payment measure ID,Payment category,Denominator,Payment,Lower estimate,Higher estimate,Payment footnote,Value of care display name,Value of care display ID,Value of care category,Value of care footnote,Measure start date,Measure End Date,Location
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,AL - Mobile,198,27501.87,12197.76,8581.18,,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608.0,MOBILE,2516331000.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,2,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,PROVIDENCE HOSPITAL,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less Than the National Average Payment,415,"$20,550 ","$19,841 ","$21,262 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Lower Payment,,4/1/2015,3/31/2018,"6801 AIRPORT BOULEVARD MOBILE, AL 36608 (30.68169, -88.198329)"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,AL - Tuscaloosa,400,39779.37,12733.25,10153.33,,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401.0,TUSCALOOSA,2057597111.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,D C H REGIONAL MEDICAL CENTER,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater Than the National Average Payment,723,"$22,982 ","$22,350 ","$23,661 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Higher Payment,,4/1/2015,3/31/2018,"809 UNIVERSITY BOULEVARD EAST TUSCALOOSA, AL 35401 (33.20613, -87.525154)"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,AL - Mobile,298,34417.42,10335.51,8128.21,,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532.0,BALDWIN,2519282375.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Below the national average,,THOMAS HOSPITAL,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less Than the National Average Payment,565,"$19,330 ","$18,771 ","$19,894 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Lower Payment,,4/1/2015,3/31/2018,"750 MORPHY AVENUE FAIRHOPE, AL 36532 (30.519999, -87.890333)"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,AL - Birmingham,109,89844.7,13404.5,10193.17,,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211.0,JEFFERSON,2057833800.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,PRINCETON BAPTIST MEDICAL CENTER,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater Than the National Average Payment,220,"$24,071 ","$22,858 ","$25,325 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Higher Payment,,4/1/2015,3/31/2018,"701 PRINCETON AVENUE SOUTHWEST BIRMINGHAM, AL 35211 (33.499133, -86.846016)"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,AL - Birmingham,468,142568.02,13071.2,9999.47,,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243.0,JEFFERSON,2055921000.0,Acute Care Hospitals,Proprietary,Yes,Y,2,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,GRANDVIEW MEDICAL CENTER,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less Than the National Average Payment,788,"$20,644 ","$20,100 ","$21,176 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Lower Payment,,4/1/2015,3/31/2018,"3690 GRANDVIEW PARKWAY BIRMINGHAM, AL 35243 (33.434363, -86.720483)"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,AL - Mobile,326,26291.83,10967.61,9022.44,,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652.0,MOBILE,2514354700.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Same as the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Below the national average,,MOBILE INFIRMARY MEDICAL CENTER,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different Than the National Average Payment,568,"$21,112 ","$20,486 ","$21,766 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Average Payment,,4/1/2015,3/31/2018,"5 MOBILE INFIRMARY CIRCLE MOBILE, AL 36652 (30.696443, -88.081017)"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,AL - Birmingham,28,43409.21,11817.18,9658.61,,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021.0,JEFFERSON,2054817000.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater Than the National Average Payment,42,"$24,099 ","$21,649 ","$26,883 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Higher Payment,,4/1/2015,3/31/2018,"995 9TH AVENUE SOUTHWEST BESSEMER, AL 35021 (33.373086, -86.991709)"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,AL - Montgomery,24,52620.17,12173.54,10725.17,,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081.0,PIKE,3346705000.0,Acute Care Hospitals,Government - Federal,Yes,Y,2,,Same as the national average,,Not Available,Results are not available for this reporting period.,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,TROY REGIONAL MEDICAL CENTER,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different Than the National Average Payment,27,"$19,808 ","$17,674 ","$22,233 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Average Payment,,4/1/2015,3/31/2018,"1330 HIGHWAY 231 SOUTH TROY, AL 36081 (31.780322, -85.945529)"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507,AL - Mobile,47,20248.23,11024.55,9490.15,,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507.0,BALDWIN,2519375521.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Same as the national average,,Not Available,Results are not available for this reporting period.,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,NORTH BALDWIN INFIRMARY,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different Than the National Average Payment,25,"$21,044 ","$18,632 ","$23,873 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Average Payment,,4/1/2015,3/31/2018,"1815 HAND AVENUE BAY MINETTE, AL 36507 (30.902492, -87.783318)"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,AL - Huntsville,418,109559.8,11558.86,8987.63,,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801.0,MADISON,2568823100.0,Acute Care Hospitals,Proprietary,Yes,Y,2,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,CRESTWOOD MEDICAL CENTER,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less Than the National Average Payment,862,"$20,409 ","$19,912 ","$20,906 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Lower Payment,,4/1/2015,3/31/2018,"ONE HOSPITAL DR SE HUNTSVILLE, AL 35801"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10139,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,AL - Birmingham,368,125496.25,12180.21,8819.96,,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209.0,JEFFERSON,2058771000.0,Acute Care Hospitals,Proprietary,Yes,Y,2,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,BROOKWOOD BAPTIST MEDICAL CENTER,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different Than the National Average Payment,717,"$21,744 ","$21,156 ","$22,347 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Average Payment,,4/1/2015,3/31/2018,"2010 BROOKWOOD MEDICAL CENTER DRIVE BIRMINGHAM, AL 35209 (33.46291, -86.77685)"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10144,SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,MOBILE,AL,36608,AL - Mobile,199,37713.18,11660.9,7822.1,,SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,MOBILE,AL,36608.0,MOBILE,2513449630.0,Acute Care Hospitals,Proprietary,Yes,Y,2,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,SPRINGHILL MEMORIAL HOSPITAL,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater Than the National Average Payment,276,"$23,669 ","$22,621 ","$24,764 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Higher Payment,,4/1/2015,3/31/2018,"3719 DAUPHIN STREET MOBILE, AL 36608 (30.685946, -88.131719)"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,AL - Birmingham,46,70358.98,11408.35,10156.87,,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653.0,FRANKLIN,2563321611.0,Acute Care Hospitals,Proprietary,Yes,Y,4,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,RUSSELLVILLE HOSPITAL,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different Than the National Average Payment,44,"$20,948 ","$18,989 ","$23,055 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Average Payment,,4/1/2015,3/31/2018,"15155 HIGHWAY 43 RUSSELLVILLE, AL 35653 (34.511165, -87.717585)"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,AL - Birmingham,31,51809.48,11383.97,9543.65,,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150.0,TALLADEGA,2562495000.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,2,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,COOSA VALLEY MEDICAL CENTER,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater Than the National Average Payment,42,"$24,526 ","$22,006 ","$27,268 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Higher Payment,,4/1/2015,3/31/2018,"315 W HICKORY ST SYLACAUGA, AL 35150 (33.164666, -86.254598)"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,GA - Columbus,510,38539.84,11778.32,9209.91,,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867.0,RUSSELL,3347323000.0,Acute Care Hospitals,Government - State,Yes,Y,4,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,JACK HUGHSTON MEMORIAL HOSPITAL,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less Than the National Average Payment,1173,"$20,509 ","$20,063 ","$20,943 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Lower Payment,,4/1/2015,3/31/2018,"4401 RIVER CHASE DRIVE PHENIX CITY, AL 36867 (32.509045, -85.005696)"
